# =====================================================================
# affiliate_link_library_v2.csv — マルチアフィリエイト対応リンクライブラリ
# =====================================================================
# 作成: 2026-08-03（TASK-024） / 実データ投入: 2026-08-03（TASK-025）
# 位置づけ: 本番の products/revenue-intelligence-os/data/rakuten_link_library.csv
#   は本ファイルでは変更していない（楽天は引き続きv1ファイルで運用）。
#   ゆうさんが既にA8.net（メディアID a24062165409・yuublog様）・
#   もしもアフィリエイト（店主のAI時短メモ・スモールビジネスカテゴリ）の
#   アカウントを開設済みであることが2026-08-03に判明したため、
#   実際に発行された広告リンクを本ファイルへ投入した（リンク捏造ゼロ原則準拠）。
#   ただし、DEV_RIO_705 等の自動投稿ワークフローへの組み込み（Code ノードの
#   LINK_LIBRARY定数への転記）は本PRの範囲外とし、ゆうさんの承認を得てから
#   別タスクで実施する（CLAUDE.md「本番SNS自動投稿の実行は承認必須」準拠）。
#   設計背景・A8/もしもの特徴調査は design/MULTI_AFFILIATE_NETWORK_EXPANSION.md 参照。
#
# rakuten_link_library.csv (v1) からの差分:
#   - network 列を新規追加: rakuten / a8 / moshimo を判別する。
#     ワークフロー側のジャンル照合ロジックはこの列を参照しない
#     （genre / aliases のみで照合＝ネットワーク非依存を維持）。
#   - aliases 列を新規追加（セミコロン区切り）。
#     design/RIO_700_SERIES_RUNBOOK.md が「genre（またはaliases）」と記述しているが
#     v1のrakuten_link_library.csvには存在しないため、v2で正式に追加する提案。
#   - payout_type 列を新規追加（cpa / rate / flat）。
#     offers.csv に既にある概念をリンク単位でも持たせる。
#   - network_account_status 列を新規追加
#     （active / pending_registration / not_registered）。
#     ゆうさんのASPアカウント開設状況を可視化し、not_registered の行は
#     ワークフローが絶対に使わない設計にする（rakuten_link_library.csvの
#     「ここに無いリンクは使わない」原則をネットワーク単位にも拡張）。
#   - id のprefixをネットワークごとに分ける想定: RKT-xxx / A8-xxx / MOSHIMO-xxx
#     （人間が一覧を見たときにネットワークを判別しやすくするため。
#     機械的な判別は network 列で行う）。
#   - pr_note の意味は v1のまま据え置き（運用メモ欄。投稿文自体には
#     genre一致時のみ固定文言「#PR」が付く仕様、2026-08-03時点の最新仕様）。
#
# カラム定義:
#   id                      : 一意ID（例: RKT-001 / A8-001 / MOSHIMO-001）
#   network                 : rakuten / a8 / moshimo
#   genre                   : ジャンルキー（小文字英数推奨）。ワークフロー照合の主キー。ネットワーク非依存
#   aliases                 : genre の別名（セミコロン区切り）。genre不一致時の追加照合に使う
#   product_name            : 商品名（管理用）
#   affiliate_url           : 各ASP管理画面で発行した実URL。手打ち・推測・生成したURLの登録は禁止
#   pr_note                 : 運用メモ欄。投稿文自体には genre一致時のみ固定文言「#PR」が付く
#   payout_type             : cpa（成果報酬固定額）/ rate（料率）/ flat（一律）
#   network_account_status  : active（提携・振込設定済み）/ pending_registration（開設中）/
#                              not_registered（未開設）。not_registeredの行はワークフロー未使用
#   status                  : active（使用中）/ inactive（停止中）。network_account_statusとは別軸
#   added_date              : 追加日 YYYY-MM-DD
#
# 記入例（↓は全てダミー。実在するURL・提携情報ではなく使用不可）:
# RKT-001,rakuten,photo_gear,lighting;camera_accessory,（例）リングライト三脚タイプ,https://a.r10.to/DUMMY-DO-NOT-USE,楽天アフィリエイトリンクを含みます,rate,active,active,2026-08-02
# A8-001,a8,biz_credit_card,corporate_card;credit_card,（例）法人カード（三井住友ビジネスオーナーズ）,https://www.a8.net/DUMMY-DO-NOT-USE,A8.net経由。要提携承認,cpa,not_registered,inactive,2026-08-03
# MOSHIMO-001,moshimo,accounting_saas,cloud_accounting;saas,（例）クラウド会計ソフト,https://af.moshimo.com/DUMMY-DO-NOT-USE,もしも経由。Amazon等は審査あり,cpa,not_registered,inactive,2026-08-03
#
# 注意: 行頭が「#」の行はコメント。以下は2026-08-03にA8.net／もしもアフィリエイトの
#   管理画面（ゆうさんの既存アカウント）から実際に発行を確認した広告リンクのみを記載。
#   手打ち・推測URLの登録は禁止（rakuten_link_library.csvと同じ原則）。
#   店舗オーナー向けバックオフィス効率化（会計・勤怠・労務・ドメイン取得）という、
#   Threads投稿の既存テーマ（口コミ対応・接客）とは異なる新ジャンルの提携商材群。
#   まだワークフロー未統合のため、この6件は自動投稿には一切使われていない。
id,network,genre,aliases,product_name,affiliate_url,pr_note,payout_type,network_account_status,status,added_date
AMAZON-006,amazon,consumable_garbagebag,gomibukuro;polybag;shomohin,大日産業 Eco Tough ゴミ袋 45L 半透明 200枚 HDPE ボックス（ASIN: B0FBLXFVJ6）,https://www.amazon.co.jp/dp/B0FBLXFVJ6/?tag=aistorelab22-22,Amazonアソシエイト（tag=aistorelab22-22）。料率はAmazon側で変動,rate,active,active,2026-08-09
AMAZON-007,amazon,consumable_garbagebag,gomibukuro;polybag;shomohin,by Amazon ごみ袋 半透明 45L 200枚 100枚×2箱（ASIN: B07J1ZP1FS）,https://www.amazon.co.jp/dp/B07J1ZP1FS/?tag=aistorelab22-22,Amazonアソシエイト（tag=aistorelab22-22）。料率はAmazon側で変動,rate,active,active,2026-08-09
AMAZON-008,amazon,consumable_garbagebag,gomibukuro;polybag;shomohin,nocoo ゴミ袋 半透明 45L 100枚 0.015mm 箱入り（ASIN: B09FX5YL1G）,https://www.amazon.co.jp/dp/B09FX5YL1G/?tag=aistorelab22-22,Amazonアソシエイト（tag=aistorelab22-22）。料率はAmazon側で変動,rate,active,active,2026-08-09
AMAZON-009,amazon,consumable_garbagebag,gomibukuro;polybag;shomohin,nocoo ゴミ袋 半透明 70L 100枚 0.025mm 箱入り（ASIN: B09FWKY82Z）,https://www.amazon.co.jp/dp/B09FWKY82Z/?tag=aistorelab22-22,Amazonアソシエイト（tag=aistorelab22-22）。料率はAmazon側で変動,rate,active,active,2026-08-09
AMAZON-010,amazon,consumable_garbagebag,gomibukuro;polybag;shomohin,ベドウィンマート ごみ袋 70L 100枚 透明 ボックスタイプ 0.035mm（ASIN: B07BKRL1CQ）,https://www.amazon.co.jp/dp/B07BKRL1CQ/?tag=aistorelab22-22,Amazonアソシエイト（tag=aistorelab22-22）。料率はAmazon側で変動,rate,active,active,2026-08-09
AMAZON-011,amazon,consumable_garbagebag,gomibukuro;polybag;shomohin,ゴミ袋 90L 半透明 100枚 箱タイプ 0.020mm HDPE（ASIN: B0CHYD3MWN）,https://www.amazon.co.jp/dp/B0CHYD3MWN/?tag=aistorelab22-22,Amazonアソシエイト（tag=aistorelab22-22）。料率はAmazon側で変動,rate,active,active,2026-08-09
AMAZON-012,amazon,consumable_garbagebag,gomibukuro;polybag;shomohin,ジャパックス ゴミ袋 半透明 45L BOX TN-44（ASIN: B001HPNBQM）,https://www.amazon.co.jp/dp/B001HPNBQM/?tag=aistorelab22-22,Amazonアソシエイト（tag=aistorelab22-22）。料率はAmazon側で変動,rate,active,active,2026-08-09
AMAZON-013,amazon,consumable_garbagebag,gomibukuro;polybag;shomohin,ジャパックス ゴミ袋 半透明 45L 業務用 MAX BOX SB-43 100枚（ASIN: B004NRBLBI）,https://www.amazon.co.jp/dp/B004NRBLBI/?tag=aistorelab22-22,Amazonアソシエイト（tag=aistorelab22-22）。料率はAmazon側で変動,rate,active,active,2026-08-09
AMAZON-014,amazon,consumable_papertowel,papertowel;handtowel;shomohin,日本製紙クレシア EFハンドタオル 400枚 6パック 業務用（ASIN: B0B2WG4HQG）,https://www.amazon.co.jp/dp/B0B2WG4HQG/?tag=aistorelab22-22,Amazonアソシエイト（tag=aistorelab22-22）。料率はAmazon側で変動,rate,active,active,2026-08-09
AMAZON-015,amazon,consumable_papertowel,papertowel;handtowel;shomohin,by Amazon ペーパータオル ダブル 400枚 12パック FSC（ASIN: B0CPLNTR5C）,https://www.amazon.co.jp/dp/B0CPLNTR5C/?tag=aistorelab22-22,Amazonアソシエイト（tag=aistorelab22-22）。料率はAmazon側で変動,rate,active,active,2026-08-09
AMAZON-016,amazon,consumable_papertowel,papertowel;handtowel;shomohin,シーネット 業務用ペーパータオル 中判 200枚×30パック（ASIN: B0G2GQQBSM）,https://www.amazon.co.jp/dp/B0G2GQQBSM/?tag=aistorelab22-22,Amazonアソシエイト（tag=aistorelab22-22）。料率はAmazon側で変動,rate,active,active,2026-08-09
AMAZON-017,amazon,consumable_papertowel,papertowel;handtowel;shomohin,ユニバーサル・ペーパー 業務用ペーパータオル 中判200枚 5×8（ASIN: B0G8H7NK33）,https://www.amazon.co.jp/dp/B0G8H7NK33/?tag=aistorelab22-22,Amazonアソシエイト（tag=aistorelab22-22）。料率はAmazon側で変動,rate,active,active,2026-08-09
AMAZON-018,amazon,consumable_papertowel,papertowel;handtowel;shomohin,ユニバーサル・ペーパー 業務用ペーパータオル ミニ200枚 6×10（ASIN: B0D2RBBNTT）,https://www.amazon.co.jp/dp/B0D2RBBNTT/?tag=aistorelab22-22,Amazonアソシエイト（tag=aistorelab22-22）。料率はAmazon側で変動,rate,active,active,2026-08-09
AMAZON-019,amazon,consumable_papertowel,papertowel;handtowel;shomohin,アズワン ペーパータオル 200枚×30袋 1ケース（ASIN: B07FP6FJ2V）,https://www.amazon.co.jp/dp/B07FP6FJ2V/?tag=aistorelab22-22,Amazonアソシエイト（tag=aistorelab22-22）。料率はAmazon側で変動,rate,active,active,2026-08-09
AMAZON-020,amazon,consumable_bedsheet,roll_sheet;seshitsu_paper;shomohin,ペーパーシーツ 防水 ブラウン 幅80cm×95m 施術ベッド用（ASIN: B07922K1KB）,https://www.amazon.co.jp/dp/B07922K1KB/?tag=aistorelab22-22,Amazonアソシエイト（tag=aistorelab22-22）。料率はAmazon側で変動,rate,active,active,2026-08-09
AMAZON-021,amazon,consumable_bedsheet,roll_sheet;seshitsu_paper;shomohin,ペーパーシーツ 非防水 超薄手 ホワイト 幅80cm×95m（ASIN: B096LYFVMW）,https://www.amazon.co.jp/dp/B096LYFVMW/?tag=aistorelab22-22,Amazonアソシエイト（tag=aistorelab22-22）。料率はAmazon側で変動,rate,active,active,2026-08-09
AMAZON-022,amazon,consumable_bedsheet,roll_sheet;seshitsu_paper;shomohin,ペーパーシーツ 非防水 薄手 ホワイト 幅80cm×95m（ASIN: B07928FWZ7）,https://www.amazon.co.jp/dp/B07928FWZ7/?tag=aistorelab22-22,Amazonアソシエイト（tag=aistorelab22-22）。料率はAmazon側で変動,rate,active,active,2026-08-09
AMAZON-023,amazon,consumable_bedsheet,roll_sheet;seshitsu_paper;shomohin,ペーパーシーツ 非防水 薄手 ブラウン 4本 幅80cm×95m（ASIN: B018I5GCJG）,https://www.amazon.co.jp/dp/B018I5GCJG/?tag=aistorelab22-22,Amazonアソシエイト（tag=aistorelab22-22）。料率はAmazon側で変動,rate,active,active,2026-08-09
AMAZON-024,amazon,consumable_bedsheet,roll_sheet;seshitsu_paper;shomohin,ペーパーシーツ 防水 ホワイト 4本 幅90cm×95m（ASIN: B00XHGYMEY）,https://www.amazon.co.jp/dp/B00XHGYMEY/?tag=aistorelab22-22,Amazonアソシエイト（tag=aistorelab22-22）。料率はAmazon側で変動,rate,active,active,2026-08-09
AMAZON-025,amazon,consumable_gloves,nitrile_glove;tebukuro;eisei_shomohin,ショーワグローブ ニトリスト・タフ No.883 食品衛生法適合（ASIN: B00B4TQBVS）,https://www.amazon.co.jp/dp/B00B4TQBVS/?tag=aistorelab22-22,Amazonアソシエイト（tag=aistorelab22-22）。料率はAmazon側で変動,rate,active,active,2026-08-09
AMAZON-026,amazon,consumable_gloves,nitrile_glove;tebukuro;eisei_shomohin,マツヨシ ニトリルグローブ ホワイト 粉なし M 100枚（ASIN: B08V263F2F）,https://www.amazon.co.jp/dp/B08V263F2F/?tag=aistorelab22-22,Amazonアソシエイト（tag=aistorelab22-22）。料率はAmazon側で変動,rate,active,active,2026-08-09
AMAZON-027,amazon,consumable_gloves,nitrile_glove;tebukuro;eisei_shomohin,SANYU ニトリル手袋 白 食品衛生法適合（ASIN: B0BC195KRY）,https://www.amazon.co.jp/dp/B0BC195KRY/?tag=aistorelab22-22,Amazonアソシエイト（tag=aistorelab22-22）。料率はAmazon側で変動,rate,active,active,2026-08-09
AMAZON-028,amazon,consumable_gloves,nitrile_glove;tebukuro;eisei_shomohin,ニトリル手袋 青 食品衛生法適合 0.08mm（ASIN: B09KRG5163）,https://www.amazon.co.jp/dp/B09KRG5163/?tag=aistorelab22-22,Amazonアソシエイト（tag=aistorelab22-22）。料率はAmazon側で変動,rate,active,active,2026-08-09
AMAZON-029,amazon,consumable_gloves,nitrile_glove;tebukuro;eisei_shomohin,サラヤ プラスチック手袋E 粉無 L 100枚×10箱 ケース（ASIN: B0919LBLDB）,https://www.amazon.co.jp/dp/B0919LBLDB/?tag=aistorelab22-22,Amazonアソシエイト（tag=aistorelab22-22）。料率はAmazon側で変動,rate,active,active,2026-08-09
AMAZON-030,amazon,consumable_wettissue,jokin_sheet;wet_tissue;shomohin,エリエール 除菌できるアルコールタオル 大容量 本体 400枚（ASIN: B002OB4388）,https://www.amazon.co.jp/dp/B002OB4388/?tag=aistorelab22-22,Amazonアソシエイト（tag=aistorelab22-22）。料率はAmazon側で変動,rate,active,active,2026-08-09
AMAZON-031,amazon,consumable_wettissue,jokin_sheet;wet_tissue;shomohin,エリエール 除菌アルコールタオル ウイルス除去用 大容量（ASIN: B00CP1L85S）,https://www.amazon.co.jp/dp/B00CP1L85S/?tag=aistorelab22-22,Amazonアソシエイト（tag=aistorelab22-22）。料率はAmazon側で変動,rate,active,active,2026-08-09
AMAZON-032,amazon,consumable_wettissue,jokin_sheet;wet_tissue;shomohin,SANWA ブロックス 除菌シート 350枚 日本製 高濃度アルコール（ASIN: B09KGX3TQL）,https://www.amazon.co.jp/dp/B09KGX3TQL/?tag=aistorelab22-22,Amazonアソシエイト（tag=aistorelab22-22）。料率はAmazon側で変動,rate,active,active,2026-08-09
AMAZON-033,amazon,consumable_wettissue,jokin_sheet;wet_tissue;shomohin,VOICE ソフトパックティッシュ 320枚×42パック（ASIN: B0GL7PD3XM）,https://www.amazon.co.jp/dp/B0GL7PD3XM/?tag=aistorelab22-22,Amazonアソシエイト（tag=aistorelab22-22）。料率はAmazon側で変動,rate,active,active,2026-08-09
AMAZON-034,amazon,consumable_wettissue,jokin_sheet;wet_tissue;shomohin,VINDA 除菌ウェットティッシュ ノンアルコール 80枚×3 大判（ASIN: B08J3RSDKT）,https://www.amazon.co.jp/dp/B08J3RSDKT/?tag=aistorelab22-22,Amazonアソシエイト（tag=aistorelab22-22）。料率はAmazon側で変動,rate,active,active,2026-08-09
AMAZON-035,amazon,consumable_mask,fushokufu_mask;mask;shomohin,e eirene マスク 不織布 JIS規格適合 ホワイト 大容量 3層（ASIN: B0CX4MSJGY）,https://www.amazon.co.jp/dp/B0CX4MSJGY/?tag=aistorelab22-22,Amazonアソシエイト（tag=aistorelab22-22）。料率はAmazon側で変動,rate,active,active,2026-08-09
AMAZON-036,amazon,consumable_mask,fushokufu_mask;mask;shomohin,アイリスオーヤマ マスク 不織布プリーツ 120枚 大容量 ふつう（ASIN: B08Q4KW82V）,https://www.amazon.co.jp/dp/B08Q4KW82V/?tag=aistorelab22-22,Amazonアソシエイト（tag=aistorelab22-22）。料率はAmazon側で変動,rate,active,active,2026-08-09
AMAZON-037,amazon,consumable_mask,fushokufu_mask;mask;shomohin,MASK LABO 不織布3層マスク レギュラー 100枚 大容量（ASIN: B0D78FNZ4B）,https://www.amazon.co.jp/dp/B0D78FNZ4B/?tag=aistorelab22-22,Amazonアソシエイト（tag=aistorelab22-22）。料率はAmazon側で変動,rate,active,active,2026-08-09
AMAZON-038,amazon,consumable_mask,fushokufu_mask;mask;shomohin,Hellozebra 不織布マスク 大容量（ASIN: B08QFJC544）,https://www.amazon.co.jp/dp/B08QFJC544/?tag=aistorelab22-22,Amazonアソシエイト（tag=aistorelab22-22）。料率はAmazon側で変動,rate,active,active,2026-08-09
AMAZON-039,amazon,consumable_receiptroll,reji_roll;kannetsu;shomohin,レシートロール 感熱 58mm×40mm外径×12mm内径 20巻（ASIN: B0CKQZ7FMG）,https://www.amazon.co.jp/dp/B0CKQZ7FMG/?tag=aistorelab22-22,Amazonアソシエイト（tag=aistorelab22-22）。料率はAmazon側で変動,rate,active,active,2026-08-09
AMAZON-040,amazon,consumable_receiptroll,reji_roll;kannetsu;shomohin,シーネット レシートロール紙 58×80mm 20巻（ASIN: B06WP4QCRH）,https://www.amazon.co.jp/dp/B06WP4QCRH/?tag=aistorelab22-22,Amazonアソシエイト（tag=aistorelab22-22）。料率はAmazon側で変動,rate,active,active,2026-08-09
AMAZON-041,amazon,consumable_receiptroll,reji_roll;kannetsu;shomohin,感熱レジロール紙 58mm×80mm外径×12mm内径 20巻（ASIN: B0FG2BHNB3）,https://www.amazon.co.jp/dp/B0FG2BHNB3/?tag=aistorelab22-22,Amazonアソシエイト（tag=aistorelab22-22）。料率はAmazon側で変動,rate,active,active,2026-08-09
AMAZON-042,amazon,consumable_receiptroll,reji_roll;kannetsu;shomohin,レシートロール 100巻 58mm幅×40mm外径×9mm内径（ASIN: B0DQQBMPDN）,https://www.amazon.co.jp/dp/B0DQQBMPDN/?tag=aistorelab22-22,Amazonアソシエイト（tag=aistorelab22-22）。料率はAmazon側で変動,rate,active,active,2026-08-09
AMAZON-043,amazon,consumable_receiptroll,reji_roll;kannetsu;shomohin,レシートロール 感熱 サーマルロールペーパー 芯あり（ASIN: B0G2B7RXFT）,https://www.amazon.co.jp/dp/B0G2B7RXFT/?tag=aistorelab22-22,Amazonアソシエイト（tag=aistorelab22-22）。料率はAmazon側で変動,rate,active,active,2026-08-09
AMAZON-044,amazon,consumable_kitchenpaper,kitchen_paper;shomohin,花王プロシリーズ シェフ キッチンペーパー M 業務用（ASIN: B07NQKZ2Y6）,https://www.amazon.co.jp/dp/B07NQKZ2Y6/?tag=aistorelab22-22,Amazonアソシエイト（tag=aistorelab22-22）。料率はAmazon側で変動,rate,active,active,2026-08-09
AMAZON-045,amazon,consumable_kitchenpaper,kitchen_paper;shomohin,by Amazon キッチンペーパー 18ロール FSC（ASIN: B0D6R1NCBV）,https://www.amazon.co.jp/dp/B0D6R1NCBV/?tag=aistorelab22-22,Amazonアソシエイト（tag=aistorelab22-22）。料率はAmazon側で変動,rate,active,active,2026-08-09
AMAZON-046,amazon,consumable_kitchenpaper,kitchen_paper;shomohin,by Amazon キッチンペーパー 36ロール FSC（ASIN: B0FFBP3XZW）,https://www.amazon.co.jp/dp/B0FFBP3XZW/?tag=aistorelab22-22,Amazonアソシエイト（tag=aistorelab22-22）。料率はAmazon側で変動,rate,active,active,2026-08-09
AMAZON-047,amazon,consumable_kitchenpaper,kitchen_paper;shomohin,ユニバーサル・ペーパー 業務用ペーパー 小判ミニ200枚 ケース（ASIN: B0G8JPM77X）,https://www.amazon.co.jp/dp/B0G8JPM77X/?tag=aistorelab22-22,Amazonアソシエイト（tag=aistorelab22-22）。料率はAmazon側で変動,rate,active,active,2026-08-09
AMAZON-048,amazon,consumable_kitchenpaper,kitchen_paper;shomohin,キッチンペーパー 1.4倍巻き 超吸収 70カット×4×2（ASIN: B0BZLMX14Y）,https://www.amazon.co.jp/dp/B0BZLMX14Y/?tag=aistorelab22-22,Amazonアソシエイト（tag=aistorelab22-22）。料率はAmazon側で変動,rate,active,active,2026-08-09
